name,status,location,price,score,cuisines
Temple Court,OPERATIONAL,Financial District New York United States,★★★★,6.687041884816754,American
Lure Fishbar,OPERATIONAL,SoHo New York United States,★★★,6.687041884816754,American Seafood Sushi
Cacio e Pepe,OPERATIONAL,East Village New York United States,★★,6.687041884816754,Italian
El Gallo Taqueria,OPERATIONAL,Little Italy New York United States,★,6.6740837696335085,Taqueria
Bagel Shop,OPERATIONAL,Upper East Side New York United States,,6.66976439790576,Bagels
Cross Keys Diner,, Doylestown United States,★,6.66976439790576,Diner
Villa Mosconi Restaurant,OPERATIONAL,South Village New York United States,★★,6.661125654450262,Italian
Daddies,,West Village New York United States,,6.656806282722513,Pizza
Joe’s Pizza,OPERATIONAL,Financial District New York United States,★,6.652486910994765,Pizza
Little Italy Pizza & Trattoria,,Southwark Philadelphia United States,★,6.652486910994765,Pizza
Goldie,,Fishtown Philadelphia United States,,6.643848167539267,
Joni's,, Montauk ,★★,6.639528795811518,Breakfast Cafe Sandwiches
Thanal Indian Tavern,,Logan Square Philadelphia United States,★★,6.63520942408377,Indian
Sumo Sushi and Japanese Fusion,,Rose Garden Allentown ,★★,6.63520942408377,Japanese Sushi
Hong Kong Restaurant,, Oley United States,★,6.626570680628272,
Naked Farmer,,Central Arts District St. Petersburg United States,,6.622251308900524,Healthy
Federal Donuts,,Queen Village Philadelphia ,★,6.622251308900524,Donuts
Duck Donuts,,New Monmouth New Jersey ,★,6.613612565445027,Donuts
Campo's Philly Cheesesteaks,,Center City East Philadelphia ,★★,9.43498759305211,American Sandwiches
Strega Italiano Seaport,OPERATIONAL,D Street / West Broadway Boston ,★★★,9.43498759305211,Italian
Trillium Brewing Company,OPERATIONAL,Fort Point Boston ,★★,9.43498759305211,American Brewery
White Dog Cafe Wayne,, Wayne United States,★★★,9.43498759305211,American
Golden Pheasant Inn,, Pennsylvania United States,,9.418610421836227,
Belle Isle Seafood,,Harbor View / Orient Heights Winthrop ,★★,9.414516129032258,Seafood
Dewey Beer Co.,, Dewey Beach United States,★★,9.414516129032258,
Agave Mexican Restaurant,,Lewes Historic District Lewes United States,★★,9.406327543424318,Mexican
360 The Restaurant at the CN Tower,,Entertainment District Toronto Canada,★★★★,9.402233250620348,Canadian
Striper Bites,, Lewes United States,★★,9.402233250620348,
Traders Restaurant on Sanibel,, Sanibel United States,★★★,9.394044665012407,
Bleu Rendez-Vous French Bistro,, Sanibel United States,,9.394044665012407,
400 Rabbits,, Sanibel United States,,9.394044665012407,
Cafe Mogador,OPERATIONAL,Williamsburg New York United States,★★,9.381761786600496,Cafe Mediterranean Middle Eastern Moroccan
Hot Chocolate Sparrow,,Orleans Orleans ,★★,9.381761786600496,Cafe Coffee Shop
Radicchio Cafe,,Old City District Philadelphia United States,★★,9.373573200992556,Italian
Thirsty Whale Tavern,, Bar Harbor United States,★★,9.373573200992556,
K'Far Cafe,,Center City West Philadelphia United States,★★,9.365384615384615,American Mediterranean
Pumpkin BYOB,,Rittenhouse Square Philadelphia ,★★,9.361290322580645,American Mediterranean
Big Fish Grill Rehoboth,,Spring Lake Rehoboth Beach ,★★,9.357196029776675,Seafood
Blue Coast Seafood Grill & Raw Bar Rehoboth,,Spring Lake Rehoboth Beach ,★★,9.357196029776675,Seafood
Matt's Fish Camp Fenwick,, Fenwick Island United States,★★,9.349007444168734,
Vault Brewing Company,, Yardley United States,★★,9.344913151364764,Brewery
The Lobster Pot,,Provincetown Historic District Provincetown ,★★,9.340818858560795,Seafood
Agave,, Chadds Ford United States,★★,9.336724565756825,
Joe's Pizza,OPERATIONAL,South Village New York United States,★,9.332630272952853,Pizza
Other Half Brewing Company,,Carroll Gardens New York United States,,9.332630272952853,Brewery
Tompkins Square Bagels,OPERATIONAL,East Village New York United States,★,9.332630272952853,Bagels Delicatessen
Penn Taproom,, Doylestown United States,★★,9.320347394540942,
Middle Child Clubhouse,,Olde Kensington Philadelphia United States,,9.316253101736972,American
Milkcrate Cafe,, Philadelphia United States,★,9.312158808933003,
Spinnerstown Hotel Restaurant & Tap Room,, Quakertown United States,★★,9.308064516129033,
Hattie B's Hot Chicken - Nashville - Midtown,OPERATIONAL,Midtown Nashville ,★★,9.303970223325063,American Southern
Abbey Burger Fells Point,,Fells Point Baltimore ,★★,9.303970223325063,Burgers
Fanelli Cafe,OPERATIONAL,SoHo New York United States,★★,9.295781637717122,American Bar Food
Peg Leg Porker BBQ,,The Gulch Nashville ,★★,9.295781637717122,American Barbecue Southern
Dogfish Head Craft Brewery,, Milton United States,★★,9.28759305210918,Brewery
The Melting Pot,, Bethlehem United States,★★★,9.28349875930521,
Rocco's at The Brick,, Newtown United States,,9.28349875930521,
Nantuckets Restaurant,, Fenwick Island United States,★★★,9.275310173697271,
Stella of New Hope,,Prallsville New Hope United States,,9.271215880893301,American Cocktail Bar Dessert
The Melting Pot,,Ramblewood Maple Shade ,★★★,9.26712158808933,American Dessert Diner Fondue French Global
Parc,,Rittenhouse Square Philadelphia ,★★★,9.26712158808933,Bistro French
Toro,OPERATIONAL,South End Boston ,★★★,9.25893300248139,Spanish Tapas
Painter's Homemade Ice Cream,, Murrells Inlet United States,,9.25893300248139,Ice Cream
Earl's New American,, New Hope United States,★★★,9.250744416873449,
The Melting Pot,,Abrahams King of Prussia ,★★★,9.250744416873449,Fondue
Doc Ford's Rum Bar & Grille - Sanibel Island,,Butterknife Sanibel ,★★,9.24255583126551,Caribbean Seafood
Stewman's Lobster Pound,,Bar Harbor Bar Harbor United States,★★,9.24255583126551,Burgers Seafood
The Lobster House,,Diamond Beach Cape May ,★★,9.234367245657568,Bar Seafood
Federal House Bar & Grille,,Naval Academy Annapolis ,★★,9.230272952853598,Seafood
Love & Honey Fried Chicken,,Northern Liberties Philadelphia ,★★,9.226178660049628,Fried Chicken
The Dandelion,, Philadelphia ,★★,9.226178660049628,Bar Food British
Cafe La Maude,,Northern Liberties Philadelphia ,★★,9.217990074441687,French
Blackwall at the Beach,, Rehoboth Beach United States,,9.213895781637717,
Torre Restaurant,,Center Valley Pennsylvania ,★★,9.213895781637717,Mexican
Greenman Juice Bar & Bistro,, Rehoboth Beach United States,★★,9.213895781637717,Açaí Bowls Breakfast Cafe Juice
Agi's Counter,OPERATIONAL,Crown Heights New York United States,,9.201612903225806,Bakery Eastern European
GATO,CLOSED_PERMANENTLY,NoHo New York United States,★★★,9.201612903225806,Mediterranean Spanish
Thrasher's French Fries,, Rehoboth Beach United States,,9.193424317617866,
Egg,,Spring Lake Rehoboth Beach ,,9.189330024813895,
Mooo....Beacon Hill,OPERATIONAL,Beacon Hill Boston ,★★★★,9.189330024813895,American Steakhouse
Delaney Oyster House,,Wraggborough Charleston ,,9.181141439205955,Seafood
Acqua e Farina,, Newtown United States,★★,9.177047146401986,
Island Cow Eatery,,Island Woods Sanibel ,★★,9.172952853598016,Seafood
Dogfish Head Brewings & Eats,, Rehoboth Beach United States,★★,9.168858560794044,Brewery
Bennett's Fresh Roast,, Fort Myers United States,★,9.168858560794044,
Tree House Brewing Company - Sandwich,,Sandwich Sandwich United States,,9.168858560794044,Brewery Sandwiches
Fractured Prune,, Rehoboth Beach United States,★,9.168858560794044,
Victoria's Restaurant,, Rehoboth Beach United States,,9.152481389578163,
Fager's Island,,North Ocean City Ocean City ,★★,9.148387096774194,
Moccia's Train Stop,, Schwenksville United States,★★,9.144292803970224,
Kawaii Tori Sushi,, Yardley United States,,9.140198511166254,Japanese Sushi
Ludwig's Grill & Oyster Bar,, Glenmoore United States,★★,9.136104218362282,
Triumph Brewing Company of New Hope,, New Hope United States,★★,9.132009925558313,Brewery
Trophy Fish,,Grand Central District St. Petersburg United States,,9.127915632754343,Seafood
Brooklyn Brewery,,Williamsburg New York United States,★★,9.123821339950371,Brewery
Plumsteadville Inn,, Plumsteadville United States,★★,9.123821339950371,
The Cull House Restaurant,, Sayville United States,★★,9.115632754342432,
Theo's Steaks Sides & Spirits,, Saint Michaels United States,★★★,9.111538461538462,
La Stalla,, Newtown United States,★★★,9.107444168734492,
1776 Steakhouse,, Rehoboth Beach United States,★★★,9.10334987593052,Steakhouse
